[CVE-2025-46817:version] [javascript] [critical] admin-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] api-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] api-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46818:version] [javascript] [high] api-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46818:version] [javascript] [high] api-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] grpc-staging.botanika.ai:6379 ["7.4.10"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="iamadmin"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="root"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords=""]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="password"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="admin"]
[weak-cipher-suites:tls-1.1] [ssl] [low] bridge.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] browser.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] browser.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] corn.concrete.xyz:443 ["[tls10 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] corn.concrete.xyz:443 ["[tls11 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] deb.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] depatriate.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] deb.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] depatriate.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] docs.concrete.xyz:443 ["[tls10 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] docs.concrete.xyz:443 ["[tls11 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] docs.neosoul.ai:443 ["[tls10 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] docs.neosoul.ai:443 ["[tls11 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] event.neosoul.ai:443 ["[tls10 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] event.neosoul.ai:443 ["[tls11 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] exchange.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] explorer.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] exchange.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] explorer.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] fltest.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] fltest.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] lwsapi.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] lwsapi.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[self-signed-ssl] [ssl] [low] epaggregator.api.concrete.xyz:443
[self-signed-ssl] [ssl] [low] indexer.api.concrete.xyz:443
